# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
3S	CAY	FDF		0	320
3S	CUR	SDQ		0	AT5
3S	DOM	PTP		0	AT5
3S	DOM	SXM		0	AT5
3S	FDF	CAY		0	320
3S	FDF	PTP		0	AT5 320
3S	FDF	SDQ		0	AT5
3S	FDF	SLU		0	AT5
3S	PTP	ANU		0	AT5
3S	PTP	DOM		0	AT5
3S	PTP	FDF		0	AT5 320
3S	PTP	SBH		0	DHT
3S	PTP	SDQ		0	AT5
3S	PTP	SFG		0	AT5
3S	PTP	SXM		0	AT5
3S	SBH	PTP		0	DHT
3S	SDQ	PTP		0	AT5
3S	SDQ	SXM		0	AT5
3S	SFG	PTP		0	AT5
3S	SLU	FDF		0	AT5
3S	SXM	DOM		0	AT5
3S	SXM	PTP		0	AT5
3S	SXM	SDQ		0	AT5
3U	BHY	XIY		0	321
3U	CAN	CKG		0	321 320
3U	CAN	CTU		0	321 320 330
3U	CAN	SPN		0	330
3U	CGO	CGQ		0	321
3U	CGO	CKG		0	321
3U	CGO	CTU		0	321
3U	CGO	HGH		0	320
3U	CGO	HRB		0	320
3U	CGO	KMG		0	320
3U	CGO	URC		0	320
3U	CGQ	CGO		0	321
3U	CGQ	NKG		0	320
3U	CGQ	TNA		0	321
3U	CGQ	TSN		0	320 319
3U	CKG	CAN		0	321 320
3U	CKG	CGO		0	321
3U	CKG	CSX		0	319 321
3U	CKG	CTU		0	330
3U	CKG	CZX		0	320
3U	CKG	DLC		0	320
3U	CKG	DYG		0	320
3U	CKG	HAK		0	319
3U	CKG	HGH		0	320 319
3U	CKG	HKT		0	321
3U	CKG	INC		0	321
3U	CKG	KHN		0	319
3U	CKG	KMG		0	319 320
3U	CKG	LHW		0	319 321
3U	CKG	LJG		0	319
3U	CKG	LXA		0	319
3U	CKG	NGB		0	319
3U	CKG	NKG		0	319
3U	CKG	NNG		0	319
3U	CKG	PEK		0	321 319 320
3U	CKG	PVG		0	320 319
3U	CKG	PZI		0	319
3U	CKG	SWA		0	319
3U	CKG	SYD		0	330
3U	CKG	SYX		0	320
3U	CKG	SZX		0	320
3U	CKG	TNA		0	321
3U	CKG	TSA		0	320
3U	CKG	TSN		0	319
3U	CKG	TYN		0	321
3U	CKG	URC		0	320
3U	CKG	WUH		0	319
3U	CKG	WUX		0	319
3U	CKG	XIY		0	319
3U	CKG	XNN		0	320
3U	CKG	YIH		0	319
3U	CKG	ZHA		0	319
3U	CSX	CKG		0	319 321
3U	CSX	CTU		0	320
3U	CSX	FOC		0	320
3U	CSX	KMG		0	320
3U	CSX	SHE		0	320
3U	CSX	WNZ		0	319
3U	CSX	XMN		0	321
3U	CTU	CAN		0	321 320 330
3U	CTU	CGO		0	321
3U	CTU	CKG		0	330
3U	CTU	CSX		0	320
3U	CTU	DCY		0	319
3U	CTU	DSN		0	319
3U	CTU	HAK		0	321
3U	CTU	HDG		0	319
3U	CTU	HET		0	320
3U	CTU	HFE		0	321
3U	CTU	HGH		0	320 319
